ADCdebugData[0], '?'; 0x07f,
ADCdebugData[1], '?'; 0x07f,
ADCdebugData[2], '?'; 0x07f,
ADCdebugData[3], '?'; 0x07f,
ADCdebugData[4], '?'; 0x07f,
ADCdebugData[5], '?'; 0x07f,
ADCdebugData[6], '?'; 0x07f,
ADCdebugData[7], '?'; 0x07f,
ADCdebugData[8], '?'; 0x07f,
ADCdebugData[9], '?'; 0x07f,
ADCdebugData[10], '?'; 0x07f,
ADCdebugData[11], '?'; 0x07f,
ADCdebugData[12], '?'; 0x07f,
ADCdebugData[13], '?'; 0x07f,
ADCdebugData[14], '?'; 0x07f,
ADCdebugData[15], '?'; 0x07f,
ADCdebugData[16], '?'; 0x07f,
ADCdebugData[17], '?'; 0x07f,
ADCdebugData[18], '?'; 0x07f,
ADCdebugData[19], '?'; 0x07f,
ADCdebugData[20], '?'; 0x07f,
ADCdebugData[21], '?'; 0x07f,
ADCdebugData[22], '?'; 0x07f,
ADCdebugData[23], '?'; 0x07f,
ADCdebugData[24], '?'; 0x07f,
ADCdebugData[25], '?'; 0x07f,
ADCdebugData[26], '?'; 0x07f,
ADCdebugData[27], '?'; 0x07f,
ADCdebugData[28], '?'; 0x07f,
ADCdebugData[29], '?'; 0x07f,
ADCdebugData[30], '?'; 0x07f,
ADCdebugData[31], '?'; 0x07f,
ADCdebugData[32], '?'; 0x07f,
ADCdebugData[33], '?'; 0x07f,
ADCdebugData[34], '?'; 0x07f,
ADCdebugData[35], '?'; 0x07f,
ADCdebugData[36], '?'; 0x07f,
ADCdebugData[37], '?'; 0x07f,
ADCdebugData[38], '?'; 0x07f,
ADCdebugData[39], '?'; 0x07f,
ADCdebugData[40], '?'; 0x07f,
ADCdebugData[41], '?'; 0x07f,
ADCdebugData[42], '?'; 0x07f,
ADCdebugData[43], '?'; 0x07f,
ADCdebugData[44], '?'; 0x07f,
ADCdebugData[45], '?'; 0x07f,
ADCdebugData[46], '?'; 0x07f,
ADCdebugData[47], '?'; 0x07f,
ADCdebugData[48], '?'; 0x07f,
ADCdebugData[49], '?'; 0x07f,
ADCdebugData[50], '?'; 0x07f,
ADCdebugData[51], '?'; 0x07f,
ADCdebugData[52], '?'; 0x07f,
ADCdebugData[53], '?'; 0x07f,
ADCdebugData[54], '?'; 0x07f,
ADCdebugData[55], '?'; 0x07f,
ADCdebugData[56], '?'; 0x07f,
ADCdebugData[57], '?'; 0x07f,
ADCdebugData[58], '?'; 0x07f,
ADCdebugData[59], '?'; 0x07f,
ADCdebugData[60], '?'; 0x07f,
ADCdebugData[61], '?'; 0x07f,
ADCdebugData[62], '?'; 0x07f,
ADCdebugData[63], '?'; 0x07f,
ADCdebugData[64], '?'; 0x07f,
ADCdebugData[65], '?'; 0x07f,
ADCdebugData[66], '?'; 0x07f,
ADCdebugData[67], '?'; 0x07f,
ADCdebugData[68], '?'; 0x07f,
ADCdebugData[69], '?'; 0x07f,
ADCdebugData[70], '?'; 0x07f,
ADCdebugData[71], '?'; 0x07f,
ADCdebugData[72], '?'; 0x07f,
ADCdebugData[73], '?'; 0x07f,
ADCdebugData[74], '?'; 0x07f,
ADCdebugData[75], '?'; 0x07f,
ADCdebugData[76], '?'; 0x07f,
ADCdebugData[77], '?'; 0x07f,
ADCdebugData[78], '?'; 0x07f,
ADCdebugData[79], '?'; 0x07f,
ADCdebugData[80], '?'; 0x07f,
ADCdebugData[81], '?'; 0x07f,
ADCdebugData[82], '?'; 0x07f,
ADCdebugData[83], '?'; 0x07f,
ADCdebugData[84], '?'; 0x07f,
ADCdebugData[85], '?'; 0x07f,
ADCdebugData[86], '?'; 0x07f,
ADCdebugData[87], '?'; 0x07f,
ADCdebugData[88], '?'; 0x07f,
ADCdebugData[89], '?'; 0x07f,
ADCdebugData[90], '?'; 0x07f,
ADCdebugData[91], '?'; 0x07f,
ADCdebugData[92], '?'; 0x07f,
ADCdebugData[93], '?'; 0x07f,
ADCdebugData[94], '?'; 0x07f,
ADCdebugData[95], '?'; 0x07f,
ADCdebugData[96], '?'; 0x07f,
ADCdebugData[97], '?'; 0x07f,
ADCdebugData[98], '?'; 0x07f,
ADCdebugData[99], '?'; 0x07f,
ADCdebugData[100], '?'; 0x07f,
ADCdebugData[101], '?'; 0x07f,
ADCdebugData[102], '?'; 0x07f,
ADCdebugData[103], '?'; 0x07f,
ADCdebugData[104], '?'; 0x07f,
ADCdebugData[105], '?'; 0x07f,
ADCdebugData[106], '?'; 0x07f,
ADCdebugData[107], '?'; 0x07f,
ADCdebugData[108], '?'; 0x07f,
ADCdebugData[109], '?'; 0x07f,
ADCdebugData[110], '?'; 0x07f,
ADCdebugData[111], '?'; 0x07f,
ADCdebugData[112], '?'; 0x07f,
ADCdebugData[113], '?'; 0x07f,
ADCdebugData[114], '?'; 0x07f,
ADCdebugData[115], '?'; 0x07f,
ADCdebugData[116], '?'; 0x07f,
ADCdebugData[117], '?'; 0x07f,
ADCdebugData[118], '?'; 0x07f,
ADCdebugData[119], '?'; 0x07f,
ADCdebugData[120], '?'; 0x07f,
ADCdebugData[121], '?'; 0x07f,
ADCdebugData[122], '?'; 0x07f,
ADCdebugData[123], '?'; 0x07f,
ADCdebugData[124], '?'; 0x07f,
ADCdebugData[125], '?'; 0x07f,
ADCdebugData[126], '?'; 0x07f,
ADCdebugData[127], '?'; 0x07f,
ADCdebugData[128], '?'; 0x07f,
ADCdebugData[129], '?'; 0x07f,
ADCdebugData[130], '?'; 0x07f,
ADCdebugData[131], '?'; 0x07f,
ADCdebugData[132], '?'; 0x07f,
ADCdebugData[133], '?'; 0x07f,
ADCdebugData[134], '?'; 0x07f,
ADCdebugData[135], '?'; 0x07f,
ADCdebugData[136], '?'; 0x07f,
ADCdebugData[137], '?'; 0x07f,
ADCdebugData[138], '?'; 0x07f,
ADCdebugData[139], '?'; 0x07f,
ADCdebugData[140], '?'; 0x07f,
ADCdebugData[141], '?'; 0x07f,
ADCdebugData[142], '?'; 0x07f,
ADCdebugData[143], '?'; 0x07f,
ADCdebugData[144], '?'; 0x07f,
ADCdebugData[145], '?'; 0x07f,
ADCdebugData[146], '?'; 0x07f,
ADCdebugData[147], '?'; 0x07f,
ADCdebugData[148], '?'; 0x07f,
ADCdebugData[149], '?'; 0x07f,
ADCdebugData[150], '?'; 0x07f,
ADCdebugData[151], '?'; 0x07f,
ADCdebugData[152], '?'; 0x07f,
ADCdebugData[153], '?'; 0x07f,
ADCdebugData[154], '?'; 0x07f,
ADCdebugData[155], '?'; 0x07f,
ADCdebugData[156], '?'; 0x07f,
ADCdebugData[157], '?'; 0x07f,
ADCdebugData[158], '?'; 0x07f,
ADCdebugData[159], '?'; 0x07f,
ADCdebugData[160], '?'; 0x07f,
ADCdebugData[161], '?'; 0x07f,
ADCdebugData[162], '?'; 0x07f,
ADCdebugData[163], '?'; 0x07f,
ADCdebugData[164], '?'; 0x07f,
ADCdebugData[165], '?'; 0x07f,
ADCdebugData[166], '?'; 0x07f,
ADCdebugData[167], '?'; 0x07f,
ADCdebugData[168], '?'; 0x07f,
ADCdebugData[169], '?'; 0x07f,
ADCdebugData[170], '?'; 0x07f,
ADCdebugData[171], '?'; 0x07f,
ADCdebugData[172], '?'; 0x07f,
ADCdebugData[173], '?'; 0x07f,
ADCdebugData[174], '?'; 0x07f,
ADCdebugData[175], '?'; 0x07f,
ADCdebugData[176], '?'; 0x07f,
ADCdebugData[177], '?'; 0x07f,
ADCdebugData[178], '?'; 0x07f,
ADCdebugData[179], '?'; 0x07f,
ADCdebugData[180], '?'; 0x07f,
ADCdebugData[181], '?'; 0x07f,
ADCdebugData[182], '?'; 0x07f,
ADCdebugData[183], '?'; 0x07f,
ADCdebugData[184], '?'; 0x07f,
ADCdebugData[185], '?'; 0x07f,
ADCdebugData[186], '?'; 0x07f,
ADCdebugData[187], '?'; 0x07f,
ADCdebugData[188], '?'; 0x07f,
ADCdebugData[189], '?'; 0x07f,
ADCdebugData[190], '?'; 0x07f,
ADCdebugData[191], '?'; 0x07f,
ADCdebugData[192], '?'; 0x07f,
ADCdebugData[193], '?'; 0x07f,
ADCdebugData[194], '?'; 0x07f,
ADCdebugData[195], '?'; 0x07f,
ADCdebugData[196], '?'; 0x07f,
ADCdebugData[197], '?'; 0x07f,
ADCdebugData[198], '?'; 0x07f,
ADCdebugData[199], '?'; 0x07f,
ADCdebugData[200], '?'; 0x07f,
ADCdebugData[201], '?'; 0x07f,
ADCdebugData[202], '?'; 0x07f,
ADCdebugData[203], '?'; 0x07f,
ADCdebugData[204], '?'; 0x07f,
ADCdebugData[205], '?'; 0x07f,
ADCdebugData[206], '?'; 0x07f,
ADCdebugData[207], '?'; 0x07f,
ADCdebugData[208], '?'; 0x07f,
ADCdebugData[209], '?'; 0x07f,
ADCdebugData[210], '?'; 0x07f,
ADCdebugData[211], '?'; 0x07f,
ADCdebugData[212], '?'; 0x07f,
ADCdebugData[213], '?'; 0x07f,
