LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	10002
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 02:06:36	0                 
Time	Ampl
-0.5020256	0.0103973
-0.5019256	-0.0280012
-0.5018256	-0.0472005
-0.5017256	-0.0472005
-0.5016256	-0.0536002
-0.5015256	-0.0280012
-0.5014256	-0.00240221
-0.5013256	0.0167971
-0.5012256	0.0231968
-0.5011256	0.0423961
-0.5010256	0.0615953
-0.5009256	0.0487958
-0.5008256	0.0615953
-0.5007256	0.0615953
-0.5006256	0.0423961
-0.5005256	0.0551956
-0.5004256	0.0743948
-0.5003256	0.0807946
-0.5002256	0.106394
-0.5001256	0.112793
-0.5000256	0.0999939
-0.4999256	0.0935941
-0.4998256	0.0615953
-0.4997256	0.0295966
-0.4996256	0.0167971
-0.4995256	0.00399754
-0.4994256	-0.0152017
-0.4993256	-0.00240221
-0.4992256	-0.0280012
-0.4991256	-0.0536002
-0.4990256	-0.0727995
-0.4989256	-0.104798
-0.4988256	-0.123998
-0.4987256	-0.0983985
-0.4986256	-0.085599
-0.4985256	-0.0663998
-0.4984256	-0.00240221
-0.4983256	0.0103973
-0.4982256	0.0295966
-0.4981256	0.0423961
-0.4980256	0.0231968
-0.4979256	0.00399754
-0.4978256	0.00399754
-0.4977256	-0.00880197
-0.4976256	-0.00880197
-0.4975256	-0.00240221
-0.4974256	0.0103973
-0.4973256	0.0103973
-0.4972256	0.0423961
-0.4971256	0.0487958
-0.4970256	0.0487958
-0.4969256	0.0679951
-0.4968256	0.0423961
-0.4967256	0.00399754
-0.4966256	-0.034401
-0.4965256	-0.0663998
-0.4964256	-0.0791993
-0.4963256	-0.06
-0.4962256	-0.06
-0.4961256	-0.0472005
-0.4960256	-0.0280012
-0.4959256	-0.034401
-0.4958256	-0.0472005
-0.4957256	-0.034401
-0.4956256	-0.034401
-0.4955256	-0.0152017
-0.4954256	0.0167971
-0.4953256	0.0359963
-0.4952256	0.0295966
-0.4951256	0.0423961
-0.4950256	0.0295966
-0.4949256	0.00399754
-0.4948256	0.0167971
-0.4947256	0.00399754
-0.4946256	-0.0216015
-0.4945256	-0.00880197
-0.4944256	-0.034401
-0.4943256	-0.0472005
-0.4942256	-0.0280012
-0.4941256	-0.0472005
-0.4940256	-0.0536002
-0.4939256	-0.06
-0.4938256	-0.0791993
-0.4937256	-0.104798
-0.4936256	-0.0983985
-0.4935256	-0.111198
-0.4934256	-0.0983985
-0.4933256	-0.0472005
-0.4932256	-0.0280012
-0.4931256	-0.00880197
-0.4930256	0.0167971
-0.4929256	0.00399754
-0.4928256	-0.0216015
-0.4927256	-0.00880197
-0.4926256	-0.0216015
-0.4925256	-0.034401
-0.4924256	-0.0152017
-0.4923256	-0.0152017
-0.4922256	-0.0152017
-0.4921256	0.00399754
-0.4920256	0.0103973
-0.4919256	-0.0152017
-0.4918256	-0.00240221
-0.4917256	-0.0408007
-0.4916256	-0.0472005
-0.4915256	-0.0280012
-0.4914256	-0.0152017
-0.4913256	0.0103973
-0.4912256	0.0487958
-0.4911256	0.0807946
-0.4910256	0.0935941
-0.4909256	0.125593
-0.4908256	0.125593
-0.4907256	0.112793
-0.4906256	0.112793
-0.4905256	0.0871943
-0.4904256	0.0551956
-0.4903256	0.0679951
-0.4902256	0.0615953
-0.4901256	0.0487958
-0.4900256	0.0615953
-0.4899256	0.0359963
-0.4898256	0.00399754
-0.4897256	-0.00240221
-0.4896256	-0.034401
-0.4895256	-0.0472005
-0.4894256	-0.034401
-0.4893256	-0.0216015
-0.4892256	-0.0216015
-0.4891256	-0.00240221
-0.4890256	0.00399754
-0.4889256	-0.0152017
-0.4888256	-0.00880197
-0.4887256	-0.00880197
-0.4886256	-0.0280012
-0.4885256	-0.0727995
-0.4884256	-0.0536002
-0.4883256	-0.06
-0.4882256	-0.0472005
-0.4881256	-0.0536002
-0.4880256	-0.0472005
-0.4879256	-0.0280012
-0.4878256	-0.0472005
-0.4877256	-0.0727995
-0.4876256	-0.0919988
-0.4875256	-0.111198
-0.4874256	-0.123998
-0.4873256	-0.0919988
-0.4872256	-0.0663998
-0.4871256	-0.0536002
-0.4870256	-0.0152017
-0.4869256	-0.0216015
-0.4868256	-0.0216015
-0.4867256	0.00399754
-0.4866256	0.0167971
-0.4865256	0.0231968
-0.4864256	0.0551956
-0.4863256	0.0743948
-0.4862256	0.0679951
-0.4861256	0.0935941
-0.4860256	0.0999939
-0.4859256	0.0935941
-0.4858256	0.0999939
-0.4857256	0.0743948
-0.4856256	0.0359963
-0.4855256	0.0359963
-0.4854256	-0.00240221
-0.4853256	-0.00880197
-0.4852256	0.00399754
-0.4851256	0.0231968
-0.4850256	0.0295966
-0.4849256	0.0615953
-0.4848256	0.0871943
-0.4847256	0.0743948
-0.4846256	0.0871943
-0.4845256	0.0743948
-0.4844256	0.0359963
-0.4843256	0.0295966
-0.4842256	0.0231968
-0.4841256	0.0167971
-0.4840256	0.0167971
-0.4839256	0.00399754
-0.4838256	-0.034401
-0.4837256	-0.0408007
-0.4836256	-0.085599
-0.4835256	-0.104798
-0.4834256	-0.0983985
-0.4833256	-0.104798
-0.4832256	-0.0919988
-0.4831256	-0.0536002
-0.4830256	-0.0472005
-0.4829256	-0.034401
-0.4828256	-0.034401
-0.4827256	-0.0536002
-0.4826256	-0.0727995
-0.4825256	-0.06
-0.4824256	-0.0663998
-0.4823256	-0.06
-0.4822256	-0.0280012
-0.4821256	-0.0152017
-0.4820256	-0.00880197
-0.4819256	0.0231968
-0.4818256	0.0423961
-0.4817256	0.0231968
-0.4816256	0.0167971
-0.4815256	-0.00240221
-0.4814256	-0.0472005
-0.4813256	-0.0408007
-0.4812256	-0.0472005
-0.4811256	-0.0408007
-0.4810256	-0.00880197
-0.4809256	0.00399754
-0.4808256	0.00399754
-0.4807256	0.0295966
-0.4806256	0.0423961
-0.4805256	0.0231968
-0.4804256	0.0359963
-0.4803256	0.0295966
-0.4802256	0.0231968
-0.4801256	0.0359963
-0.4800256	0.0423961
-0.4799256	0.0423961
-0.4798256	0.0487958
-0.4797256	0.0551956
-0.4796256	0.0231968
-0.4795256	0.0231968
-0.4794256	0.0167971
-0.4793256	-0.00240221
-0.4792256	0.0295966
-0.4791256	0.0359963
-0.4790256	0.0423961
-0.4789256	0.0551956
-0.4788256	0.0423961
-0.4787256	0.0167971
-0.4786256	0.0103973
-0.4785256	-0.034401
-0.4784256	-0.06
-0.4783256	-0.06
-0.4782256	-0.085599
-0.4781256	-0.0791993
-0.4780256	-0.0536002
-0.4779256	-0.0408007
-0.4778256	-0.034401
-0.4777256	-0.0216015
-0.4776256	-0.0472005
-0.4775256	-0.0727995
-0.4774256	-0.0663998
-0.4773256	-0.0791993
-0.4772256	-0.0663998
-0.4771256	-0.034401
-0.4770256	-0.00880197
-0.4769256	-0.00880197
-0.4768256	0.0295966
-0.4767256	0.0359963
-0.4766256	0.0231968
-0.4765256	0.0359963
-0.4764256	0.0295966
-0.4763256	-0.00240221
-0.4762256	-0.00240221
-0.4761256	-0.0280012
-0.4760256	-0.034401
-0.4759256	-0.00880197
-0.4758256	-0.0216015
-0.4757256	-0.00880197
-0.4756256	-0.00240221
-0.4755256	-0.0152017
-0.4754256	-0.0408007
-0.4753256	-0.0280012
-0.4752256	-0.0536002
-0.4751256	-0.0408007
-0.4750256	-0.0152017
-0.4749256	-0.00880197
-0.4748256	-0.0152017
-0.4747256	-0.00880197
-0.4746256	-0.00880197
-0.4745256	-0.00880197
-0.4744256	-0.00240221
-0.4743256	-0.00240221
-0.4742256	0.00399754
-0.4741256	0.0359963
-0.4740256	0.0423961
-0.4739256	0.0423961
-0.4738256	0.0487958
-0.4737256	0.0423961
-0.4736256	0.0103973
-0.4735256	-0.00240221
-0.4734256	-0.034401
-0.4733256	-0.0536002
-0.4732256	-0.0408007
-0.4731256	-0.034401
-0.4730256	-0.0216015
-0.4729256	0.0167971
-0.4728256	0.0551956
-0.4727256	0.0615953
-0.4726256	0.0999939
-0.4725256	0.0935941
-0.4724256	0.0615953
-0.4723256	0.0487958
-0.4722256	0.0295966
-0.4721256	0.00399754
-0.4720256	0.00399754
-0.4719256	0.0167971
-0.4718256	0.0167971
-0.4717256	0.0231968
-0.4716256	0.0103973
-0.4715256	-0.00880197
-0.4714256	-0.0152017
-0.4713256	-0.0408007
-0.4712256	-0.034401
-0.4711256	-0.00880197
-0.4710256	0.00399754
-0.4709256	0.0167971
-0.4708256	0.0423961
-0.4707256	0.0487958
-0.4706256	0.0423961
-0.4705256	0.0551956
-0.4704256	0.0615953
-0.4703256	0.0487958
-0.4702256	0.0487958
-0.4701256	0.0423961
-0.4700256	0.0295966
-0.4699256	0.0423961
-0.4698256	0.0359963
-0.4697256	0.0167971
-0.4696256	0.0295966
-0.4695256	0.00399754
-0.4694256	-0.0280012
-0.4693256	-0.034401
-0.4692256	-0.085599
-0.4691256	-0.104798
-0.4690256	-0.0727995
-0.4689256	-0.0791993
-0.4688256	-0.0727995
-0.4687256	-0.0472005
-0.4686256	-0.0663998
-0.4685256	-0.0791993
-0.4684256	-0.0536002
-0.4683256	-0.0791993
-0.4682256	-0.0919988
-0.4681256	-0.0727995
-0.4680256	-0.085599
-0.4679256	-0.0919988
-0.4678256	-0.0727995
-0.4677256	-0.0663998
-0.4676256	-0.0727995
-0.4675256	-0.0663998
-0.4674256	-0.085599
-0.4673256	-0.111198
-0.4672256	-0.111198
-0.4671256	-0.111198
-0.4670256	-0.111198
-0.4669256	-0.06
-0.4668256	-0.0408007
-0.4667256	-0.00880197
-0.4666256	0.0231968
-0.4665256	0.0359963
-0.4664256	0.0423961
-0.4663256	0.0423961
-0.4662256	0.0359963
-0.4661256	0.0295966
-0.4660256	0.0423961
-0.4659256	0.0679951
-0.4658256	0.0551956
-0.4657256	0.0807946
-0.4656256	0.0807946
-0.4655256	0.0487958
-0.4654256	0.0615953
-0.4653256	0.0487958
-0.4652256	0.0295966
-0.4651256	0.0423961
-0.4650256	0.0487958
-0.4649256	0.0423961
-0.4648256	0.0615953
-0.4647256	0.0807946
-0.4646256	0.0743948
-0.4645256	0.112793
-0.4644256	0.112793
-0.4643256	0.112793
-0.4642256	0.131993
-0.4641256	0.125593
-0.4640256	0.0871943
-0.4639256	0.106394
-0.4638256	0.0935941
-0.4637256	0.0807946
-0.4636256	0.0935941
-0.4635256	0.0935941
-0.4634256	0.0487958
-0.4633256	0.0231968
-0.4632256	-0.0216015
-0.4631256	-0.0727995
-0.4630256	-0.0663998
-0.4629256	-0.0791993
-0.4628256	-0.0663998
-0.4627256	-0.0536002
-0.4626256	-0.0536002
-0.4625256	-0.0663998
-0.4624256	-0.06
-0.4623256	-0.085599
-0.4622256	-0.104798
-0.4621256	-0.0727995
-0.4620256	-0.085599
-0.4619256	-0.0727995
-0.4618256	-0.0536002
-0.4617256	-0.06
-0.4616256	-0.0472005
-0.4615256	-0.0280012
-0.4614256	-0.0536002
-0.4613256	-0.0727995
-0.4612256	-0.0536002
-0.4611256	-0.085599
-0.4610256	-0.104798
-0.4609256	-0.0791993
-0.4608256	-0.085599
-0.4607256	-0.0919988
-0.4606256	-0.06
-0.4605256	-0.0536002
-0.4604256	-0.0408007
-0.4603256	-0.0216015
-0.4602256	-0.034401
-0.4601256	-0.034401
-0.4600256	-0.0280012
-0.4599256	-0.034401
-0.4598256	-0.0280012
-0.4597256	-0.00240221
-0.4596256	0.0167971
-0.4595256	0.0103973
-0.4594256	0.0359963
-0.4593256	0.0231968
-0.4592256	0.0167971
-0.4591256	0.0423961
-0.4590256	0.0743948
-0.4589256	0.0679951
-0.4588256	0.0871943
-0.4587256	0.0999939
-0.4586256	0.0999939
-0.4585256	0.106394
-0.4584256	0.0871943
-0.4583256	0.0423961
-0.4582256	0.0359963
-0.4581256	-0.00240221
-0.4580256	-0.0280012
-0.4579256	-0.0216015
-0.4578256	-0.034401
-0.4577256	-0.034401
-0.4576256	-0.00880197
-0.4575256	0.0103973
-0.4574256	0.0103973
-0.4573256	0.0231968
-0.4572256	-0.00240221
-0.4571256	-0.0408007
-0.4570256	-0.034401
-0.4569256	-0.0472005
-0.4568256	-0.0472005
-0.4567256	-0.0152017
-0.4566256	-0.00240221
-0.4565256	0.00399754
-0.4564256	0.0167971
-0.4563256	0.0103973
-0.4562256	-0.00240221
-0.4561256	0.0167971
-0.4560256	0.0167971
-0.4559256	-0.00880197
-0.4558256	-0.00880197
-0.4557256	-0.0280012
-0.4556256	-0.0472005
-0.4555256	-0.0408007
-0.4554256	-0.0536002
-0.4553256	-0.0727995
-0.4552256	-0.0727995
-0.4551256	-0.0791993
-0.4550256	-0.0919988
-0.4549256	-0.0536002
-0.4548256	-0.0472005
-0.4547256	-0.0280012
-0.4546256	0.00399754
-0.4545256	0.0359963
-0.4544256	0.0423961
-0.4543256	0.0551956
-0.4542256	0.0615953
-0.4541256	0.0359963
-0.4540256	0.0551956
-0.4539256	0.0487958
-0.4538256	0.0551956
-0.4537256	0.0743948
-0.4536256	0.0871943
-0.4535256	0.0679951
-0.4534256	0.0743948
-0.4533256	0.0423961
-0.4532256	0.00399754
-0.4531256	-0.0216015
-0.4530256	-0.06
-0.4529256	-0.0536002
-0.4528256	-0.0408007
-0.4527256	-0.0472005
-0.4526256	-0.034401
-0.4525256	0.0103973
-0.4524256	0.0231968
