LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	10002
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 02:05:39	0                 
Time	Ampl
-0.5020005	-0.00880197
-0.5019005	0.00399754
-0.5018005	-0.00240221
-0.5017005	-0.00880197
-0.5016005	-0.00240221
-0.5015005	0.00399754
-0.5014005	-0.00880197
-0.5013005	0.0103973
-0.5012005	0.0103973
-0.5011005	0.00399754
-0.5010005	0.0167971
-0.5009005	0.0231968
-0.5008005	0.0167971
-0.5007005	0.0231968
-0.5006005	0.0295966
-0.5005005	0.0167971
-0.5004005	0.0167971
-0.5003005	0.0103973
-0.5002005	-0.00240221
-0.5001005	-0.00240221
-0.5000005	0.0167971
-0.4999005	-0.0216015
-0.4998005	-0.00240221
-0.4997005	0.00399754
-0.4996005	-0.00880197
-0.4995005	0.0103973
-0.4994005	0.00399754
-0.4993005	-0.00240221
-0.4992005	-0.00240221
-0.4991005	-0.00240221
-0.4990005	-0.00880197
-0.4989005	0.0103973
-0.4988005	-0.00240221
-0.4987005	-0.0152017
-0.4986005	-0.00880197
-0.4985005	-0.0152017
-0.4984005	-0.0280012
-0.4983005	-0.0152017
-0.4982005	-0.034401
-0.4981005	-0.0280012
-0.4980005	-0.0280012
-0.4979005	-0.034401
-0.4978005	-0.034401
-0.4977005	-0.0152017
-0.4976005	-0.0216015
-0.4975005	-0.0152017
-0.4974005	-0.00240221
-0.4973005	-0.00240221
-0.4972005	-0.00880197
-0.4971005	0.00399754
-0.4970005	0.00399754
-0.4969005	0.00399754
-0.4968005	0.0231968
-0.4967005	0.0103973
-0.4966005	0.00399754
-0.4965005	0.0103973
-0.4964005	0.0103973
-0.4963005	0.00399754
-0.4962005	0.0167971
-0.4961005	0.00399754
-0.4960005	-0.00240221
-0.4959005	0.0167971
-0.4958005	0.0167971
-0.4957005	0.0103973
-0.4956005	0.0359963
-0.4955005	0.0295966
-0.4954005	0.0167971
-0.4953005	0.0295966
-0.4952005	0.0359963
-0.4951005	0.0167971
-0.4950005	0.0231968
-0.4949005	0.0167971
-0.4948005	0.00399754
-0.4947005	0.0231968
-0.4946005	0.0103973
-0.4945005	0.00399754
-0.4944005	0.0167971
-0.4943005	0.0103973
-0.4942005	-0.00880197
-0.4941005	0.00399754
-0.4940005	0.0103973
