LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	1923
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 01:40:20	0                 
Time	Ampl
0	-117.958
0.9765625	-52.6443
1.953125	-57.5659
2.929688	-61.6034
3.90625	-58.3321
4.882813	-51.215
5.859375	-49.2699
6.835938	-48.7836
7.8125	-52.7573
8.789063	-44.2182
9.765625	-46.8877
10.74219	-57.8164
11.71875	-53.5898
12.69531	-54.0613
13.67188	-46.8239
14.64844	-51.1683
15.625	-53.7789
16.60156	-55.9892
17.57813	-49.3436
18.55469	-52.7204
19.53125	-58.4917
20.50781	-51.9026
21.48438	-63.3667
22.46094	-50.8073
23.4375	-53.4277
24.41406	-57.3964
25.39063	-45.6377
26.36719	-64.5529
27.34375	-51.8117
28.32031	-49.545
29.29688	-49.4737
30.27344	-55.8836
31.25	-54.2062
32.22656	-52.2121
33.20313	-53.2583
34.17969	-48.484
35.15625	-45.51
36.13281	-56.0973
37.10938	-49.1275
38.08594	-63.3249
39.0625	-64.8549
40.03906	-58.3591
41.01563	-55.2107
41.99219	-56.8439
42.96875	-54.7539
43.94531	-56.2471
44.92188	-55.5152
45.89844	-61.1662
46.875	-50.5445
47.85156	-47.3347
48.82813	-51.5735
49.80469	-57.141
50.78125	-46.566
51.75781	-46.8214
52.73438	-43.8768
53.71094	-44.0978
54.6875	-48.4472
55.66406	-44.6185
56.64063	-44.7977
57.61719	-41.8654
58.59375	-41.2834
59.57031	-37.2042
60.54688	-27.9479
61.52344	-25.4307
62.5	-36.7302
63.47656	-40.5221
64.45313	-43.0983
65.42969	-46.9491
66.40625	-49.7439
67.38281	-50.8564
68.35938	-53.2951
69.33594	-52.3987
70.3125	-55.137
71.28906	-56.3453
72.26563	-70.8006
73.24219	-50.2007
74.21875	-61.2595
75.19531	-53.0495
76.17188	-52.9857
77.14844	-54.2455
78.125	-43.9799
79.10156	-44.3238
80.07813	-44.3336
81.05469	-37.9188
82.03125	-26.0152
83.00781	-32.452
83.98438	-39.5643
84.96094	-42.3001
85.9375	-45.2103
86.91406	-44.7364
87.89063	-46.0625
88.86719	-51.3058
89.84375	-49.6285
90.82031	-50.7361
91.79688	-47.482
92.77344	-53.4007
93.75	-60.9378
94.72656	-51.5539
95.70313	-53.0471
96.67969	-50.6526
97.65625	-56.3429
98.63281	-69.0422
99.60938	-55.6356
100.5859	-52.9415
101.5625	-51.5244
102.5391	-54.0024
103.5156	-50.6133
104.4922	-51.3525
105.4688	-49.9919
106.4453	-48.4889
107.4219	-50.3259
108.3984	-41.3497
109.375	-32.4422
110.3516	-27.6066
111.3281	-39.3383
112.3047	-43.9701
113.2813	-50.8122
114.2578	-49.4664
115.2344	-48.5209
116.2109	-56.7309
117.1875	-52.6345
118.1641	-53.1723
119.1406	-46.6618
120.1172	-40.2912
121.0938	-35.819
122.0703	-19.8951
123.0469	-30.6298
124.0234	-38.0072
125	-43.5231
125.9766	-43.4028
126.9531	-43.9873
127.9297	-45.7015
128.9063	-51.9714
129.8828	-47.1112
130.8594	-52.3962
131.8359	-48.209
132.8125	-51.4065
133.7891	-50.6649
134.7656	-52.1065
135.7422	-56.3821
136.7188	-50.8515
137.6953	-59.8228
138.6719	-54.5353
139.6484	-52.5387
140.625	-55.8075
141.6016	-51.5563
142.5781	-57.6297
143.5547	-53.4081
144.5313	-50.655
145.5078	-29.0629
146.4844	-50.5592
147.4609	-53.6856
148.4375	-57.1386
149.4141	-57.0698
150.3906	-51.8314
151.3672	-51.0946
152.3438	-52.8432
153.3203	-54.8448
154.2969	-62.8485
155.2734	-49.8839
156.25	-49.4909
157.2266	-50.0312
158.2031	-52.8678
159.1797	-53.3663
160.1563	-54.0417
161.1328	-46.3695
162.1094	-46.5586
163.0859	-40.8634
164.0625	-31.8945
165.0391	-27.5722
166.0156	-37.0003
166.9922	-41.9882
167.9688	-43.9775
168.9453	-45.5812
169.9219	-44.3066
170.8984	-48.0862
171.875	-49.2797
172.8516	-46.2983
173.8281	-48.8254
174.8047	-50.6673
175.7813	-53.1428
176.7578	-55.4759
177.7344	-51.6325
178.7109	-83.5712
179.6875	-46.1092
180.6641	-50.019
181.6406	-45.7703
182.6172	-39.7804
183.5938	-24.8756
184.5703	-37.3515
185.5469	-42.919
186.5234	-47.9044
187.5	-44.3336
188.4766	-48.0346
189.4531	-47.1628
190.4297	-50.4021
191.4063	-43.9799
192.3828	-45.7678
193.3594	-48.4226
194.3359	-45.9569
195.3125	-30.1509
196.2891	-49.1815
197.2656	-48.7738
198.2422	-56.6523
199.2188	-68.6837
200.1953	-52.3496
201.1719	-54.4199
202.1484	-59.5429
203.125	-58.9264
204.1016	-58.2756
205.0781	-50.5936
206.0547	-57.3866
207.0313	-51.5662
208.0078	-61.1785
208.9844	-53.8477
209.9609	-58.4181
210.9375	-47.2905
211.9141	-49.8962
212.8906	-54.8742
213.8672	-48.9261
214.8438	-46.5218
215.8203	-46.7404
216.7969	-41.2465
217.7734	-38.2062
218.75	-34.8809
219.7266	-27.8473
220.7031	-23.8982
221.6797	-34.8416
222.6563	-38.7857
223.6328	-42.6734
224.6094	-45.4191
225.5859	-45.5271
226.5625	-54.7146
227.5391	-49.987
228.5156	-47.2242
229.4922	-51.5342
230.4688	-54.8595
231.4453	-52.9979
232.4219	-60.1298
233.3984	-49.1815
234.375	-55.5054
235.3516	-50.1712
236.3281	-50.2547
237.3047	-54.6704
238.2813	-55.0167
239.2578	-50.9841
240.2344	-49.5278
241.2109	-48.5381
242.1875	-46.4383
243.1641	-39.8737
244.1406	-35.5317
245.1172	-21.9728
246.0938	-33.0586
247.0703	-21.5528
248.0469	-34.7065
249.0234	-41.0574
250	-41.7623
250.9766	-44.535
251.9531	-44.9549
252.9297	-46.1215
253.9063	-56.667
254.8828	-50.8097
255.8594	-52.6983
256.8359	-48.069
257.8125	-54.4445
258.7891	-56.7235
259.7656	-62.9934
260.7422	-56.3429
261.7188	-59.6485
262.6953	-59.7099
263.6719	-57.087
264.6484	-47.676
265.625	-71.8198
266.6016	-58.4967
267.5781	-61.5567
268.5547	-64.5995
269.5313	-58.283
270.5078	-54.6434
271.4844	-52.9537
272.4609	-48.8917
273.4375	-52.4969
274.4141	-47.3519
275.3906	-65.7292
276.3672	-49.2625
277.3438	-59.3489
278.3203	-58.9927
279.2969	-47.8995
280.2734	-50.5445
281.25	-49.8937
282.2266	-45.7482
283.2031	-51.0897
284.1797	-46.5316
285.1563	-47.013
286.1328	-42.612
287.1094	-43.8252
288.0859	-45.0139
289.0625	-42.1184
290.0391	-39.4808
291.0156	-30.4971
291.9922	-27.9185
292.9688	-38.8496
293.9453	-44.5964
294.9219	-50.213
295.8984	-52.3349
296.875	-50.4168
297.8516	-56.1587
298.8281	-52.4994
299.8047	-54.2382
300.7813	-61.8367
301.7578	-67.2003
302.7344	-64.1771
303.7109	-58.7005
304.6875	-54.8227
305.6641	-43.4814
306.6406	-33.5523
307.6172	-53.8084
308.5938	-55.8247
309.5703	-49.5253
310.5469	-53.2534
311.5234	-58.8331
312.5	-55.5742
313.4766	-59.4152
314.4531	-63.266
315.4297	-47.2929
316.4063	-48.8352
317.3828	-45.4682
318.3594	-49.0513
319.3359	-46.1436
320.3125	-47.8995
321.2891	-47.5557
322.2656	-46.2271
323.2422	-47.2782
324.2188	-45.3135
325.1953	-40.2814
326.1719	-38.4468
327.1484	-36.2169
328.125	-31.6318
329.1016	-30.6175
330.0781	-20.9659
331.0547	-25.6124
332.0313	-34.3701
333.0078	-38.0023
333.9844	-39.1517
334.9609	-42.5432
335.9375	-43.7221
336.9141	-46.345
337.8906	-48.0346
338.8672	-46.4186
339.8438	-51.3329
340.8203	-52.3889
341.7969	-48.0518
342.7734	-46.3867
343.75	-53.3025
344.7266	-59.5969
345.7031	-55.8148
346.6797	-56.2274
347.6563	-61.5469
348.6328	-50.6157
349.6094	-47.8799
350.5859	-52.3226
351.5625	-57.3719
352.5391	-64.7813
353.5156	-48.3219
354.4922	-58.062
355.4688	-52.1801
356.4453	-53.8329
357.4219	-50.8957
358.3984	-56.726
359.375	-51.1069
360.3516	-57.7132
361.3281	-46.9958
362.3047	-55.1051
363.2813	-50.7778
364.2578	-63.4772
365.2344	-59.145
366.2109	-53.2656
367.1875	-46.1362
368.1641	-39.6281
369.1406	-50.7287
370.1172	-49.6236
371.0938	-47.509
372.0703	-50.7385
373.0469	-50.4168
374.0234	-50.353
375	-52.745
375.9766	-52.5903
376.9531	-55.5201
377.9297	-51.4335
378.9063	-51.1929
379.8828	-49.7709
380.8594	-52.5043
381.8359	-62.2271
382.8125	-53.5112
383.7891	-51.2665
384.7656	-59.5257
385.7422	-54.3953
386.7188	-51.9665
387.6953	-48.8721
388.6719	-41.9833
389.6484	-34.483
390.625	-32.7394
391.6016	-41.249
392.5781	-51.0283
393.5547	-48.4717
394.5313	-58.7079
395.5078	-49.8986
396.4844	-52.0033
397.4609	-50.8662
398.4375	-83.8193
399.4141	-58.3984
400.3906	-54.6286
401.3672	-65.9699
402.3438	-50.7852
403.3203	-74.9069
404.2969	-55.8615
405.2734	-53.5186
406.25	-56.1218
407.2266	-50.2179
408.2031	-56.333
409.1797	-51.7184
410.1563	-46.512
411.1328	-40.4877
412.1094	-32.5208
413.0859	-33.2502
414.0625	-41.7451
415.0391	-47.9486
416.0156	-51.9984
416.9922	-49.0808
417.9688	-60.2207
418.9453	-55.6257
419.9219	-55.331
420.8984	-47.9315
421.875	-56.6351
422.8516	-59.3955
423.8281	-62.2222
424.8047	-71.6479
425.7813	-63.4207
426.7578	-50.5543
427.7344	-62.7085
428.7109	-49.0194
429.6875	-36.4404
430.6641	-41.777
431.6406	-43.3709
432.6172	-44.4515
433.5938	-55.9475
434.5703	-48.344
435.5469	-42.9264
436.5234	-44.6774
437.5	-24.1904
438.4766	-42.9951
439.4531	-42.8772
440.4297	-35.9639
441.4063	-29.0752
442.3828	-37.5038
443.3594	-40.915
444.3359	-46.3499
445.3125	-45.8268
446.2891	-48.3784
447.2656	-59.0812
448.2422	-49.653
449.2188	-51.3648
450.1953	-50.3972
451.1719	-61.9693
452.1484	-55.5815
453.125	-51.1536
454.1016	-53.5309
455.0781	-48.1451
456.0547	-54.4002
457.0313	-49.8274
458.0078	-57.4185
458.9844	-61.5616
459.9609	-59.005
460.9375	-61.4732
461.9141	-56.3674
462.8906	-62.0749
463.8672	-66.6502
464.8438	-55.0633
465.8203	-57.8311
466.7969	-61.1539
467.7734	-48.7321
468.75	-57.6346
469.7266	-66.466
470.7031	-75.2605
471.6797	-59.1573
472.6563	-52.077
473.6328	-53.4204
474.6094	-54.5083
475.5859	-61.9545
476.5625	-50.741
477.5391	-58.8552
478.5156	-58.8135
479.4922	-52.3545
480.4688	-52.605
481.4453	-53.3467
482.4219	-50.7017
483.3984	-52.966
484.375	-48.9777
485.3516	-48.1427
486.3281	-48.5749
487.3047	-45.9471
488.2813	-42.224
489.2578	-39.5765
490.2344	-32.845
491.2109	-25.5387
492.1875	-31.8381
493.1641	-43.2555
494.1406	-43.6238
495.1172	-44.0855
496.0938	-46.4211
497.0703	-57.2564
498.0469	-62.5562
499.0234	-51.7037
500	-53.1428
500.9766	-59.1573
501.9531	-54.4297
502.9297	-52.8187
503.9063	-52.384
504.8828	-57.2098
505.8594	-57.2
506.8359	-63.0278
507.8125	-52.7278
508.7891	-55.3359
509.7656	-64.5283
510.7422	-54.0343
511.7188	-65.852
512.6953	-54.5329
513.6719	-51.4532
514.6484	-51.7184
515.625	-55.9376
516.6016	-49.8912
517.5781	-54.1178
518.5547	-53.526
519.5313	-53.5554
520.5078	-59.4766
521.4844	-58.5875
522.4609	-53.494
523.4375	-59.8695
524.4141	-52.8039
525.3906	-66.3015
526.3672	-67.382
527.3438	-52.5731
528.3203	-57.8729
529.2969	-63.546
530.2734	-54.8055
531.25	-54.5894
532.2266	-54.7293
533.2031	-72.979
534.1797	-65.1349
535.1563	-55.3187
536.1328	-55.5643
537.1094	-54.2406
538.0859	-56.8168
539.0625	-59.4053
540.0391	-62.124
541.0156	-48.2679
541.9922	-51.0504
542.9688	-53.0642
543.9453	-51.2494
544.9219	-54.3438
545.8984	-53.3295
546.875	-65.6187
547.8516	-58.9559
548.8281	-75.6731
549.8047	-50.1074
550.7813	-49.739
551.7578	-38.7735
552.7344	-46.6176
553.7109	-48.7444
554.6875	-36.5951
555.6641	-48.4054
556.6406	-53.3516
557.6172	-54.8128
558.5938	-56.4337
