LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	1912
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 01:55:41	0                 
Time	Ampl
0	-117.958
0.9765625	-45.5763
1.953125	-52.6443
2.929688	-53.8477
3.90625	-52.939
4.882813	-68.9317
5.859375	-50.2179
6.835938	-52.5829
7.8125	-51.3869
8.789063	-50.7729
9.765625	-60.9329
10.74219	-47.3813
11.71875	-63.713
12.69531	-55.8099
13.67188	-68.61
14.64844	-59.6583
15.625	-49.1226
16.60156	-53.2263
17.57813	-61.343
18.55469	-52.0451
19.53125	-56.4951
20.50781	-66.5004
21.48438	-50.1246
22.46094	-53.8501
23.4375	-54.2455
24.41406	-58.0571
25.39063	-48.3858
26.36719	-49.3829
27.34375	-53.86
28.32031	-45.3822
29.29688	-48.0272
30.27344	-53.0299
31.25	-51.9124
32.22656	-59.4815
33.20313	-52.6811
34.17969	-56.3281
35.15625	-59.005
36.13281	-49.0906
37.10938	-50.7827
38.08594	-59.3267
39.0625	-57.7059
40.03906	-57.5831
41.01563	-66.8639
41.99219	-50.0509
42.96875	-54.3192
43.94531	-55.0805
44.92188	-66.7042
45.89844	-53.5431
46.875	-56.4509
47.85156	-71.3065
48.82813	-46.9442
49.80469	-30.8631
50.78125	-40.8119
51.75781	-41.4921
52.73438	-51.1806
53.71094	-57.8753
54.6875	-59.2138
55.66406	-51.6669
56.64063	-80.5259
57.61719	-48.5233
58.59375	-53.3884
59.57031	-49.3534
60.54688	-45.3577
61.52344	-34.2645
62.5	-45.8587
63.47656	-48.6879
64.45313	-50.5077
65.42969	-52.3226
66.40625	-56.9347
67.38281	-47.8823
68.35938	-62.8092
69.33594	-51.8486
70.3125	-53.6979
71.28906	-57.8508
72.26563	-57.7771
73.24219	-54.9897
74.21875	-66.2695
75.19531	-57.7648
76.17188	-64.2238
77.14844	-49.1447
78.125	-50.0754
79.10156	-54.7809
80.07813	-55.1321
81.05469	-48.6559
82.03125	-36.8456
83.00781	-38.8201
83.98438	-49.0391
84.96094	-54.1792
