LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	1867
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 02:06:36	0                 
Time	Ampl
0	-131.937
1	-65.9527
2	-65.1005
3	-69.9877
4	-71.9672
5	-64.823
6	-71.115
7	-66.7484
8	-67.8659
9	-72.3822
10	-67.5392
11	-68.0697
12	-79.1162
13	-63.3274
14	-66.4709
15	-75.0223
16	-71.6135
17	-74.2364
18	-61.4413
19	-60.5424
20	-67.1487
21	-76.5277
22	-64.128
23	-66.7435
24	-81.1252
25	-66.2671
26	-64.9409
27	-83.7235
28	-64.1231
29	-66.7607
30	-70.668
31	-63.9659
32	-75.1549
33	-71.7388
34	-64.0101
35	-71.0855
36	-65.5033
37	-72.284
38	-65.5401
39	-65.1619
40	-75.0469
41	-62.2959
42	-64.1747
43	-63.9561
44	-62.1093
45	-69.4057
46	-66.0043
47	-63.3839
48	-70.6778
49	-59.8793
50	-61.8588
51	-62.8337
52	-67.3649
53	-61.5125
54	-60.5964
55	-60.5473
56	-62.0454
57	-58.6784
58	-60.3951
59	-57.0722
60	-53.0176
61	-38.8152
62	-48.6805
63	-58.8724
64	-61.4069
65	-58.9657
66	-61.429
67	-63.3519
68	-61.4265
69	-63.9021
70	-60.2256
71	-59.2162
72	-60.3951
73	-61.2865
74	-59.2162
75	-58.0767
76	-58.1872
77	-56.5049
78	-54.3806
79	-52.8359
80	-50.8638
81	-46.5463
82	-35.0847
83	-40.4484
84	-48.4546
85	-52.5485
86	-56.2716
87	-59.7393
88	-59.8842
89	-63.4354
90	-60.5915
91	-58.6366
92	-64.4374
93	-64.8967
94	-67.2691
95	-58.8135
96	-61.4339
97	-60.9059
98	-58.6317
99	-63.4182
100	-66.3457
101	-64.0617
102	-62.8976
103	-60.508
104	-59.2555
105	-60.7094
106	-56.8291
107	-57.1214
108	-54.1154
109	-51.1266
110	-28.5275
111	-49.2183
112	-57.3768
113	-57.5782
114	-56.3453
115	-53.2877
116	-55.3826
117	-52.2661
118	-52.1335
119	-50.741
120	-47.4305
121	-43.3512
122	-34.4708
123	-33.6161
124	-43.8105
125	-47.2021
126	-50.7066
127	-53.4744
128	-53.1846
129	-55.9966
130	-55.0609
131	-57.1336
132	-55.498
133	-54.2996
134	-56.6597
135	-53.3
136	-52.325
137	-51.7012
138	-49.7316
139	-49.0194
140	-48.5651
141	-46.0552
142	-43.5772
143	-40.4803
144	-35.6471
145	-26.666
146	-25.6836
147	-35.0896
148	-39.5274
149	-41.8605
150	-43.5674
151	-44.8788
152	-45.9054
153	-47.008
154	-48.1721
155	-47.8701
156	-48.4791
157	-49.3657
158	-49.9281
159	-48.2655
160	-47.7325
161	-46.2246
162	-44.5522
163	-40.9224
164	-34.7458
165	-28.6896
166	-42.4229
167	-49.2994
168	-52.8457
169	-58.3247
170	-73.5193
171	-66.6134
172	-71.7019
173	-64.909
174	-69.1576
175	-72.5075
176	-63.8112
177	-64.322
178	-59.2162
179	-56.2667
180	-56.3846
181	-52.8874
182	-48.0837
183	-43.9677
184	-26.079
185	-41.6886
186	-49.7832
187	-53.9484
188	-58.8454
189	-55.9008
190	-57.4971
191	-53.747
192	-51.8412
193	-47.956
194	-41.4602
195	-27.3684
196	-36.0474
197	-43.1449
198	-46.2492
199	-48.2826
200	-49.1275
201	-51.7381
202	-52.5215
203	-53.4695
204	-54.6016
205	-55.3384
206	-54.7686
207	-56.446
208	-53.5431
209	-56.3281
210	-56.6302
211	-52.9881
212	-53.4056
213	-56.36
214	-53.0716
215	-52.2587
216	-51.6128
217	-50.4733
218	-48.2851
219	-44.0929
220	-35.3819
221	-37.7297
222	-47.008
223	-52.8383
224	-55.2402
225	-60.3042
226	-61.4216
227	-59.8106
228	-60.8199
229	-67.0579
230	-68.1532
231	-65.378
232	-66.7533
233	-61.7605
234	-69.8011
235	-79.9856
236	-66.2794
237	-64.5701
238	-67.6129
239	-63.713
240	-60.0193
241	-62.7699
242	-60.8715
243	-56.2397
244	-51.3771
245	-41.0083
246	-39.552
247	-57.5978
248	-49.8102
249	-53.3344
250	-55.6478
251	-58.8061
252	-57.3571
253	-59.6116
254	-60.4687
255	-65.4665
256	-61.6672
257	-66.7853
258	-65.2331
259	-65.0514
260	-57.9367
