LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	1435
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 01:32:54	0                 
Time	Ampl
0	-117.958
0.9765625	-52.1212
1.953125	-51.1437
2.929688	-51.5269
3.90625	-57.2687
4.882813	-51.188
5.859375	-63.1972
6.835938	-52.7671
7.8125	-52.6983
8.789063	-59.7025
9.765625	-61.0925
10.74219	-52.9365
11.71875	-55.7436
12.69531	-53.7617
13.67188	-48.0493
14.64844	-56.8709
15.625	-76.486
16.60156	-54.8472
17.57813	-47.5459
18.55469	-52.298
19.53125	-57.9981
20.50781	-57.1214
21.48438	-52.384
22.46094	-51.5981
23.4375	-53.9385
24.41406	-54.83
25.39063	-49.96
26.36719	-54.4076
27.34375	-56.6867
28.32031	-59.7958
29.29688	-57.4136
30.27344	-53.7936
31.25	-54.997
32.22656	-60.9427
33.20313	-54.83
34.17969	-68.777
35.15625	-57.114
36.13281	-59.5257
37.10938	-56.6572
38.08594	-60.1863
39.0625	-55.7829
40.03906	-61.4339
41.01563	-50.7901
41.99219	-53.2067
42.96875	-57.4284
43.94531	-58.03
44.92188	-45.8513
45.89844	-53.7838
46.875	-52.2538
47.85156	-52.4626
48.82813	-60.3459
49.80469	-60.3238
50.78125	-56.3109
51.75781	-48.2826
52.73438	-53.1649
53.71094	-58.7668
54.6875	-56.5762
55.66406	-55.7731
56.64063	-60.9869
57.61719	-44.7683
58.59375	-51.5612
59.57031	-45.2717
60.54688	-38.3928
61.52344	-16.9579
62.5	-33.3533
63.47656	-35.6791
64.45313	-39.7779
65.42969	-41.2343
66.40625	-41.9809
67.38281	-44.7732
68.35938	-44.0708
69.33594	-45.6917
70.3125	-45.4117
71.28906	-49.6678
72.26563	-44.9893
73.24219	-46.8386
74.21875	-48.8229
75.19531	-47.789
76.17188	-46.1141
77.14844	-46.1411
78.125	-45.1833
79.10156	-51.1069
80.07813	-52.2784
81.05469	-46.8361
82.03125	-49.4836
83.00781	-46.5095
83.98438	-44.7388
84.96094	-43.4323
85.9375	-47.9413
86.91406	-53.7936
87.89063	-51.6693
88.86719	-46.5611
89.84375	-47.3961
90.82031	-48.3981
91.79688	-47.5213
92.77344	-50.0754
93.75	-49.8962
94.72656	-59.8351
95.70313	-48.7812
96.67969	-56.0506
97.65625	-46.7625
98.63281	-58.3223
99.60938	-67.6767
100.5859	-46.4653
101.5625	-55.2303
102.5391	-58.671
103.5156	-51.4409
104.4922	-51.2371
105.4688	-57.335
106.4453	-59.4053
107.4219	-72.1194
108.3984	-66.6698
109.375	-53.3811
110.3516	-61.8907
111.3281	-52.9488
112.3047	-53.9533
113.2813	-52.993
114.2578	-44.9426
115.2344	-46.2909
116.2109	-45.8489
117.1875	-49.6113
118.1641	-43.7417
119.1406	-41.1778
120.1172	-37.9581
121.0938	-32.4324
122.0703	-27.2161
123.0469	-13.247
124.0234	-25.1237
125	-28.7805
125.9766	-32.0345
126.9531	-34.4413
127.9297	-36.9045
128.9063	-39.6576
129.8828	-38.8226
130.8594	-38.7808
131.8359	-40.5122
132.8125	-40.9003
133.7891	-45.2349
134.7656	-43.6926
135.7422	-45.5714
136.7188	-49.2503
137.6953	-44.9279
138.6719	-46.0969
139.6484	-47.8848
140.625	-49.8274
141.6016	-54.9553
142.5781	-56.5688
143.5547	-46.0527
144.5313	-48.737
145.5078	-47.8234
146.4844	-53.4204
147.4609	-48.8033
148.4375	-50.9645
149.4141	-50.0509
150.3906	-57.5069
151.3672	-53.72
152.3438	-53.2362
153.3203	-52.8088
154.2969	-56.2323
155.2734	-51.8437
156.25	-54.9086
157.2266	-51.9984
158.2031	-58.0914
159.1797	-59.7295
160.1563	-58.0227
161.1328	-60.6456
162.1094	-51.2322
163.0859	-62.5096
164.0625	-65.3879
165.0391	-56.699
166.0156	-62.8116
166.9922	-64.4325
167.9688	-60.9894
168.9453	-52.2292
169.9219	-61.235
170.8984	-56.0481
171.875	-55.4194
172.8516	-59.8793
173.8281	-57.9441
174.8047	-55.7878
175.7813	-49.2257
176.7578	-50.9767
177.7344	-51.9665
178.7109	-49.2331
179.6875	-49.3411
180.6641	-46.9982
181.6406	-46.0797
182.6172	-38.6924
183.5938	-31.3395
184.5703	-21.4227
185.5469	-26.7568
186.5234	-36.7105
187.5	-38.5623
188.4766	-40.7431
189.4531	-49.8765
190.4297	-45.2938
191.4063	-47.4624
192.3828	-48.9556
193.3594	-47.7031
194.3359	-49.4737
195.3125	-48.5921
196.2891	-52.018
197.2656	-49.4492
198.2422	-51.242
199.2188	-53.2853
200.1953	-51.0946
201.1719	-50.1933
202.1484	-51.7872
203.125	-54.6115
204.1016	-65.0612
205.0781	-58.924
206.0547	-48.0813
207.0313	-54.8349
208.0078	-50.1688
208.9844	-53.4105
209.9609	-58.2437
210.9375	-57.3277
211.9141	-58.9166
212.8906	-58.5531
213.8672	-53.5824
214.8438	-58.7152
215.8203	-56.9765
216.7969	-61.1613
217.7734	-60.8297
218.75	-61.2399
219.7266	-63.7351
220.7031	-56.3379
221.6797	-50.6452
222.6563	-61.0655
223.6328	-53.6905
224.6094	-56.0825
225.5859	-55.7903
226.5625	-51.8756
227.5391	-55.6356
228.5156	-50.5985
229.4922	-52.6615
230.4688	-58.1037
231.4453	-56.4877
232.4219	-55.5373
233.3984	-48.5995
234.375	-49.599
235.3516	-54.2603
236.3281	-53.3074
237.3047	-49.1078
238.2813	-51.5072
239.2578	-46.286
240.2344	-43.6312
241.2109	-45.9938
242.1875	-42.3566
243.1641	-42.1429
244.1406	-35.7675
245.1172	-30.9981
246.0938	-22.7906
247.0703	-23.7533
248.0469	-28.4465
249.0234	-36.9487
250	-39.2573
250.9766	-47.8553
251.9531	-47.5655
252.9297	-49.2306
253.9063	-48.5405
254.8828	-56.0138
255.8594	-48.85
256.8359	-54.3511
257.8125	-53.2583
258.7891	-52.4306
259.7656	-57.3522
260.7422	-50.046
261.7188	-59.7958
262.6953	-51.1757
263.6719	-51.6079
264.6484	-48.6928
265.625	-50.348
266.6016	-47.956
267.5781	-54.0933
268.5547	-67.0849
269.5313	-62.6962
270.5078	-47.4403
271.4844	-52.5043
272.4609	-51.5981
273.4375	-67.5564
274.4141	-55.9573
275.3906	-48.7615
276.3672	-52.9169
277.3438	-49.9207
278.3203	-55.7338
279.2969	-53.8133
280.2734	-57.7673
281.25	-50.7091
282.2266	-45.5468
283.2031	-49.0219
284.1797	-50.461
285.1563	-68.9587
286.1328	-48.85
287.1094	-49.3117
288.0859	-58.4082
289.0625	-50.8589
290.0391	-57.2221
291.0156	-52.5755
291.9922	-57.0109
292.9688	-50.601
293.9453	-53.1011
294.9219	-52.1163
295.8984	-54.2873
296.875	-61.1957
297.8516	-61.4585
298.8281	-57.9023
299.8047	-52.492
300.7813	-67.8266
301.7578	-53.5284
302.7344	-57.7574
303.7109	-52.4797
304.6875	-45.0114
305.6641	-43.1376
306.6406	-34.2399
307.6172	-24.409
308.5938	-15.865
309.5703	-19.9909
310.5469	-28.2869
311.5234	-33.9403
312.5	-37.1182
