LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	1912
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 01:54:20	0                 
Time	Ampl
0	-117.958
0.9765625	-72.7211
1.953125	-55.4465
2.929688	-46.9638
3.90625	-49.1299
4.882813	-50.6329
5.859375	-51.7553
6.835938	-51.0038
7.8125	-60.1839
8.789063	-50.3431
9.765625	-51.129
10.74219	-53.1109
11.71875	-51.3304
12.69531	-48.9556
13.67188	-58.0669
14.64844	-69.0496
15.625	-56.1513
16.60156	-54.6827
17.57813	-48.7075
18.55469	-53.0323
19.53125	-59.5183
20.50781	-53.7617
21.48438	-60.0267
22.46094	-53.9705
23.4375	-46.7035
24.41406	-54.2627
25.39063	-47.0817
26.36719	-51.8117
27.34375	-54.9012
28.32031	-50.3186
29.29688	-54.8227
30.27344	-75.1033
31.25	-69.445
32.22656	-54.3069
33.20313	-55.2254
34.17969	-55.4857
35.15625	-51.4876
36.13281	-50.3137
37.10938	-49.9207
38.08594	-46.2664
39.0625	-49.8077
40.03906	-57.6764
41.01563	-55.5643
41.99219	-51.4581
42.96875	-49.6874
43.94531	-51.0897
44.92188	-92.6162
45.89844	-55.5054
46.875	-48.3416
47.85156	-48.9629
48.82813	-43.3488
49.80469	-31.3469
50.78125	-45.2865
51.75781	-58.6907
52.73438	-43.8817
53.71094	-48.4546
54.6875	-46.8435
55.66406	-55.4366
56.64063	-52.4675
57.61719	-61.6869
58.59375	-51.5342
59.57031	-47.0744
60.54688	-52.2931
61.52344	-35.3058
62.5	-43.3316
63.47656	-54.9234
64.45313	-53.828
65.42969	-57.1263
66.40625	-68.7794
67.38281	-56.3625
68.35938	-55.6601
69.33594	-50.9596
70.3125	-61.2227
71.28906	-57.7353
72.26563	-60.4786
73.24219	-55.8983
74.21875	-55.6527
75.19531	-58.9878
76.17188	-58.4525
77.14844	-53.8477
78.125	-55.5619
79.10156	-53.5628
80.07813	-58.3026
81.05469	-57.9244
82.03125	-62.5808
83.00781	-60.621
83.98438	-69.7814
84.96094	-49.8004
85.9375	-68.1016
86.91406	-56.0138
87.89063	-49.3018
88.86719	-60.3656
89.84375	-57.2442
90.82031	-55.8738
91.79688	-54.555
92.77344	-54.7023
93.75	-53.0372
94.72656	-63.1972
95.70313	-57.1361
96.67969	-53.5775
97.65625	-65.3977
98.63281	-64.7886
