LECROYWS24Xs-A	49590	Waveform
Segments	1	SegmentSize	1867
Segment	TrigTime	TimeSinceSegment1
#1	03-Jan-2003 02:05:39	0                 
Time	Ampl
0	-131.937
1	-68.6935
2	-71.8075
3	-65.5279
4	-76.7537
5	-63.3397
6	-70.5821
7	-65.5622
8	-67.3747
9	-69.165
10	-63.4011
11	-69.9877
12	-74.9855
13	-72.9446
14	-80.6684
15	-81.0318
16	-76.5842
17	-67.4533
18	-71.9254
19	-66.2843
20	-71.9942
21	-65.1988
22	-76.6383
23	-75.6289
24	-75.7787
25	-76.4492
26	-66.8467
27	-66.1025
28	-67.4582
29	-68.8826
30	-68.2539
31	-62.6618
32	-64.3736
33	-66.493
34	-68.2662
35	-75.1475
36	-64.9728
37	-62.9983
38	-70.7662
39	-76.3927
40	-67.9764
41	-69.5162
42	-65.9945
43	-68.0967
44	-78.6619
45	-67.6227
46	-69.6194
47	-72.5836
48	-64.8795
49	-64.209
50	-65.2651
51	-69.3566
52	-59.4201
53	-67.3968
54	-65.7612
55	-63.9929
56	-62.7478
57	-59.2604
58	-63.2783
59	-58.9657
60	-54.9528
61	-39.886
62	-48.8622
63	-55.9229
64	-58.2339
65	-62.3549
66	-66.3776
67	-65.4051
68	-65.4149
69	-67.7971
70	-68.05
71	-75.3833
72	-63.6344
73	-66.2622
74	-76.7905
75	-73.8263
76	-78.6717
77	-70.6754
78	-73.3081
79	-70.7613
80	-66.0338
81	-67.5368
82	-71.9672
83	-86.9284
84	-64.7493
85	-68.4946
86	-64.6879
87	-76.8298
88	-67.1536
89	-71.5497
90	-68.2883
91	-64.1403
92	-76.5449
93	-70.9603
94	-74.5876
95	-69.6316
96	-66.8688
97	-63.9364
98	-76.6825
99	-66.9326
100	-75.0616
101	-67.7013
102	-74.4624
103	-78.8019
104	-66.4169
105	-60.6087
106	-70.6999
107	-66.0018
108	-66.1737
109	-64.3466
110	-72.7334
111	-63.4993
112	-67.1954
113	-61.6795
114	-64.1747
115	-65.8864
116	-61.5321
117	-58.3247
118	-56.5099
119	-55.0805
120	-53.4449
121	-49.1692
122	-39.5323
123	-36.0352
124	-46.6912
125	-50.6894
126	-54.1989
127	-55.9204
128	-57.3596
129	-59.285
130	-59.5895
131	-57.1484
132	-60.8911
133	-62.2542
134	-63.6024
135	-57.2122
136	-58.3788
137	-59.7713
138	-58.9142
139	-62.0356
140	-68.8384
141	-61.5665
142	-69.0864
143	-65.7808
144	-64.4031
145	-63.8529
146	-63.8357
147	-68.8998
148	-68.3718
149	-61.6328
150	-61.1785
151	-65.7685
152	-59.9088
153	-59.3489
154	-65.4836
155	-73.7452
156	-63.3004
157	-66.4046
158	-65.6138
159	-62.2026
160	-69.2117
161	-60.0169
162	-61.5984
163	-60.8592
164	-61.3897
165	-65.2479
166	-61.3381
167	-61.0066
168	-64.0298
169	-61.8956
170	-61.0606
171	-58.0865
172	-60.6824
173	-58.0669
174	-56.8635
175	-56.7284
176	-57.9613
177	-52.6296
178	-58.6342
179	-54.1571
180	-51.3476
181	-49.766
182	-44.5743
183	-40.1439
184	-31.1676
185	-39.8983
186	-44.5006
187	-47.929
188	-50.6575
189	-53.8919
190	-55.7436
191	-56.3723
192	-56.9151
193	-58.8724
194	-61.7212
195	-65.1275
196	-61.9742
197	-65.911
198	-63.3961
199	-67.08
200	-67.8855
201	-63.7645
202	-67.3256
203	-65.7243
204	-63.5263
205	-67.9813
206	-73.7673
207	-69.5113
208	-72.3159
209	-78.797
210	-71.8714
211	-73.647
212	-67.8216
213	-69.0594
214	-66.4439
215	-78.4925
216	-65.0269
217	-72.5001
218	-69.9705
219	-66.5863
220	-67.274
221	-77.9251
222	-61.8931
223	-70.4814
224	-67.2814
225	-75.9801
226	-65.685
227	-72.9053
228	-68.5412
229	-68.6935
230	-72.4019
231	-67.9567
232	-71.3532
233	-67.3084
234	-73.0895
235	-67.2666
236	-80.9729
237	-70.7122
238	-67.3305
239	-69.9288
240	-64.2852
241	-67.7701
242	-59.7713
243	-61.1466
244	-52.2636
245	-39.5299
246	-43.3119
247	-52.4724
248	-56.6449
249	-57.5855
250	-61.5984
251	-61.623
252	-64.4571
253	-62.8755
254	-62.905
255	-87.7634
256	-68.1041
257	-63.0425
258	-65.3338
259	-64.0592
260	-76.7365
261	-64.9949
262	-79.8211
263	-69.1626
264	-67.3526
265	-66.2572
266	-65.7096
267	-63.0597
268	-67.0922
269	-62.8116
270	-74.2143
271	-72.1072
272	-62.8215
273	-70.695
274	-73.2983
275	-68.5977
276	-76.96
277	-70.835
278	-62.7478
279	-69.0545
280	-75.5331
281	-76.0489
282	-66.1639
283	-78.0062
284	-66.9228
285	-74.0989
286	-75.7984
287	-73.9221
288	-71.0855
289	-69.1233
290	-67.0235
291	-66.4709
292	-72.2914
293	-67.048
294	-66.0338
295	-67.5171
296	-70.1695
297	-64.2975
298	-72.1047
299	-75.069
300	-64.1231
301	-69.1969
302	-69.0668
303	-65.2331
304	-69.4843
305	-67.8904
306	-59.533
307	-37.3982
308	-54.0957
309	-62.0749
310	-61.9152
311	-62.7183
312	-70.6606
313	-66.4807
314	-76.0513
315	-69.0447
316	-70.3659
317	-61.2399
318	-64.2827
319	-73.9
320	-66.8319
321	-75.231
322	-69.084
323	-70.3684
324	-69.946
325	-74.4501
326	-72.5026
327	-69.2461
328	-69.1527
329	-66.9719
330	-72.117
331	-62.9443
332	-64.0249
333	-67.2298
334	-66.245
335	-71.3606
336	-66.051
337	-71.0831
338	-80.6119
339	-71.0339
340	-64.3687
341	-68.2612
342	-66.5225
343	-67.7308
344	-69.2903
345	-67.856
346	-60.2575
347	-65.518
348	-68.1286
349	-69.8772
350	-61.5395
351	-62.3745
352	-64.0862
353	-73.4849
354	-71.2918
355	-64.3539
356	-63.1334
357	-68.6665
358	-70.1867
359	-72.2471
360	-67.883
361	-62.8608
362	-62.9811
363	-61.8342
364	-62.1952
365	-69.7765
366	-55.9204
367	-55.5742
368	-44.3041
369	-38.7636
370	-50.7017
371	-55.7854
372	-57.5069
373	-56.9838
374	-60.535
375	-71.6676
376	-64.4595
377	-69.8772
378	-63.9806
379	-70.8669
380	-72.3822
381	-67.5883
382	-64.4473
383	-67.3157
384	-66.1492
385	-68.1532
386	-73.1853
387	-74.148
388	-67.554
389	-70.1523
390	-80.9876
391	-72.3331
392	-69.4352
393	-66.4562
394	-75.8278
395	-74.3052
396	-66.6944
397	-68.6174
398	-73.5463
399	-73.3523
400	-75.4889
401	-74.6023
402	-67.0824
403	-69.7864
404	-69.2927
405	-72.6106
406	-66.4734
